Date,Name,Direction,Tonnage,Type
1851-11-15,George Emory,Inbound,178.62,Brig
1851-11-15,Exact,Inbound,114.02,Schooner
1851-11-28,Beaver,Inbound,207.65,Steamer
1851-11-28,Mary Dare,Inbound,174.64,Brig
1851-12-10,Damariscove,Inbound,102.53,Schooner
--,Orbit,Inbound,154.49,Brig
1852-01-09,G. W. Kendall,Inbound,183.00,Brig
1852-01-20,Alice,Inbound,45.98,Schooner
1852-01-09,Susan Sturges,Inbound,125.00,Schooner
1852-01-09,John Davis,Inbound,148.00,Brig
1852-02-03,Damariscove,Inbound,102.53,Schooner
--,Franklin,Inbound,85.78,Schooner
1852-02-16,Mary Dare,Inbound,174.64,Brig
1852-03-01,Mary Taylor,Inbound,84.00,Schooner
1852-03-02,Alice,Inbound,45.98,Schooner
1852-03-23,G. W. Kendall,Inbound,183.00,Brig
1852-03-25,Cynosure,Inbound,94.23,Schooner
1852-03-26,Exact,Inbound,114.02,Schooner
1852-03-27,Leonesa,Inbound,182.00,Brig
1852-04-03,Franklin,Inbound,85.78,Schooner
1852-04-05,Honolulu Packet,Inbound,92.57,Schooner
--,George Emory,Inbound,,Brig
1852-04-07,Damariscove,Inbound,102.53,Schooner
1852-04-19,Honolulu Packet,Inbound,92.57,Schooner
1852-04-26,Mary Taylor,Inbound,84.00,Schooner
1852-04-27,John Davis,Inbound,148.00,Brig
1852-05-08,Daniel,Inbound,194.48,Brig
1852-05-16,Honolulu Packet,Inbound,92.57,Schooner
1852-05-27,Mexican,Inbound,,Schooner
1852-05-29,Brontes,Inbound,250.37,Bark
1852-06-17,Honolulu Packet,Inbound,92.57,Schooner
1852-06-05,Cecil,Inbound,107.75,Schooner
1852-05-01,Franklin Adams,Inbound,198.57,Brig
1852-06-04,Leonesa,Inbound,182.00,Brig
1852-06-18,Jane,Inbound,168.56,Brig
1852-06-18,Eagle,Inbound,110.62,Brig
1852-6-,Mary Taylor,Inbound,84.00,Schooner
1852-6-,Franklin  ,Inbound,84.78,Schooner
,Damariscove,Inbound,102.53,Schooner
1853-07-20,Persia,Inbound,330.84,Ship
1853-07-20,John Davis,Inbound,148.00,Brig
In Port--,Jane,Inbound,168.60,Brig
1852-8-,G. W. Kendall,Inbound,183.00,Brig
1852-8-,Potomac,Inbound,472.85,Ship
1852-08-15,Louisiana,Inbound,299.00,Bark
1852-08-16,Brontes,Inbound,250.37,Bark
1852-08-21,George Emory,Inbound,148.62,Brig
1852-09-23,James Marshall,Inbound,164.82,Brig
1852-09-23,Mary Taylor,Inbound,84.00,Brig
1852-9-,Alabama,Inbound,280.23,Bark
1852-9-,Northern Light,Inbound,,Schooner
1852-09-30,Thracian,Inbound,375.05,Ship
1852-10-16,Kingsbury,Inbound,195.95,Brig
1853-01-18,Mason,Inbound,,Ship
1852-12-25,Mary Dare,Inbound,174.64,Brig
